"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2015","112.54","114.46","116.42","106.79","82.87M","-1.89%"
"01-06-2015","114.71","113.83","117.37","112.17","107.67M","0.81%"
"01-05-2015","113.79","125.83","127.54","109.42","158.50M","-9.15%"
"01-04-2015","125.25","122.50","133.33","122.42","74.41M","2.35%"
"01-03-2015","122.37","119.50","129.08","112.30","238.34M","2.47%"
"01-02-2015","119.42","110.65","123.33","104.75","132.82M","8.53%"
"01-01-2015","110.04","110.46","112.91","105.10","151.83M","-0.24%"
"01-12-2014","110.31","108.85","110.96","97.05","142.96M","0.91%"
"01-11-2014","109.31","114.63","114.90","106.78","118.68M","-4.93%"
"01-10-2014","114.98","106.74","115.59","105.25","109.24M","7.91%"
"01-09-2014","106.55","106.25","110.27","100.88","178.56M","1.24%"
"01-08-2014","105.25","109.85","111.80","103.45","127.08M","-5.27%"
"01-07-2014","111.11","119.77","124.06","109.23","185.99M","-7.14%"
"01-06-2014","119.65","124.86","129.38","114.94","251.91M","-2.68%"
"01-05-2014","122.95","89.62","128.38","86.94","443.05M","37.95%"
"01-04-2014","89.13","92.54","96.44","88.36","143.30M","-2.96%"
"01-03-2014","91.85","86.56","94.87","84.76","170.52M","6.67%"
"01-02-2014","86.10","96.52","104.64","85.79","176.51M","-11.11%"
"01-01-2014","96.86","105.33","106.32","94.60","125.55M","-7.70%"
"01-12-2013","104.94","112.72","118.77","102.38","188.47M","-6.96%"
"01-11-2013","112.80","112.99","120.65","110.92","78.20M","-1.24%"
"01-10-2013","114.21","113.14","114.86","107.43","66.97M","1.12%"
"01-09-2013","112.95","99.38","116.13","94.83","106.37M","13.74%"
"01-08-2013","99.31","100.14","110.65","93.01","126.18M","0.15%"
"01-07-2013","99.16","109.55","113.04","96.88","87.44M","-9.08%"
"01-06-2013","109.06","116.83","118.05","104.20","86.31M","-6.78%"
"01-05-2013","116.98","118.73","123.58","112.24","148.04M","-2.00%"
"01-04-2013","119.37","107.77","119.87","105.60","136.42M","10.85%"
"01-03-2013","107.69","113.00","114.48","103.29","155.29M","-5.93%"
"01-02-2013","114.48","119.49","120.32","111.14","299.69M","-3.95%"
"01-01-2013","119.18","119.03","127.07","115.54","82.14M","0.42%"
"01-12-2012","118.69","123.21","123.28","113.31","64.77M","-3.66%"
"01-11-2012","123.21","125.18","129.62","119.15","45.38M","-1.78%"
"01-10-2012","125.44","127.45","132.08","103.94","79.51M","-1.64%"
"01-09-2012","127.53","127.64","133.14","123.47","64.63M","0.03%"
"01-08-2012","127.49","119.15","132.61","118.50","60.59M","7.04%"
"01-07-2012","119.11","121.38","123.36","113.12","50.86M","-1.54%"
"01-06-2012","120.97","110.99","121.69","107.27","57.14M","8.62%"
"01-05-2012","111.37","122.90","123.85","105.34","58.69M","-9.66%"
"01-04-2012","123.28","124.27","128.78","121.69","34.60M","-0.15%"
"01-03-2012","123.47","137.70","138.61","121.42","50.34M","-10.11%"
"01-02-2012","137.35","130.49","144.71","129.01","59.54M","5.14%"
"01-01-2012","130.64","122.03","135.72","117.63","74.67M","7.06%"
"01-12-2011","122.03","125.78","134.62","116.91","60.51M","-0.92%"
"01-11-2011","123.17","135.84","137.81","115.35","52.33M","-9.43%"
"01-10-2011","135.99","125.56","139.14","122.79","57.85M","6.92%"
"01-09-2011","127.19","132.61","132.61","121.38","65.21M","-0.97%"
"01-08-2011","128.44","134.43","138.00","123.32","59.11M","-3.86%"
"01-07-2011","133.60","141.87","146.00","133.14","65.85M","-5.78%"
"01-06-2011","141.79","128.63","143.08","128.63","56.27M","11.08%"
"01-05-2011","127.64","137.73","139.10","125.29","80.63M","-7.71%"
"01-04-2011","138.30","146.42","146.50","137.54","33.97M","-5.59%"
"01-03-2011","146.50","130.53","147.94","129.50","43.48M","13.69%"
"01-02-2011","128.86","143.58","144.71","127.68","47.04M","-10.16%"
"01-01-2011","143.42","152.79","154.16","140.35","53.02M","-5.78%"
"01-12-2010","152.22","139.59","154.61","138.08","65.41M","9.05%"
"01-11-2010","139.59","150.29","150.29","133.03","74.70M","-5.79%"
"01-10-2010","148.17","165.27","168.65","145.89","91.87M","-10.85%"
"01-09-2010","166.19","150.22","169.44","145.62","98.34M","10.72%"
"01-08-2010","150.10","153.20","153.97","147.23","34.25M","-1.41%"
"01-07-2010","152.25","152.44","157.80","151.14","43.67M","-0.43%"
"01-06-2010","152.90","155.50","156.96","148.68","47.08M","-1.34%"
"01-05-2010","154.97","158.11","159.68","145.62","73.16M","-2.53%"
"01-04-2010","158.99","158.76","162.82","155.43","55.22M","0.14%"
"01-03-2010","158.76","155.81","159.60","151.71","84.79M","2.07%"
"01-02-2010","155.54","166.23","166.23","150.91","85.09M","-5.25%"
"01-01-2010","164.16","181.85","183.00","161.13","109.98M","-9.06%"
"01-12-2009","180.51","161.63","184.88","157.23","94.27M","12.32%"
"01-11-2009","160.71","162.28","168.60","154.51","67.35M","-1.22%"
"01-10-2009","162.70","163.55","170.06","157.11","83.37M","-0.64%"
"01-09-2009","163.74","162.78","164.92","155.69","80.96M","0.66%"
"01-08-2009","162.66","164.77","168.87","154.01","101.18M","-1.51%"
"01-07-2009","165.15","152.21","172.35","144.39","148.85M","10.53%"
"01-06-2009","149.41","167.61","178.48","139.42","287.00M","-9.45%"
"01-05-2009","165.00","147.08","172.35","142.21","176.21M","13.37%"
"01-04-2009","145.54","138.27","157.65","134.86","153.72M","5.64%"
"01-03-2009","137.77","139.42","143.17","128.12","140.08M","-2.78%"
"01-02-2009","141.71","144.39","145.16","131.07","110.95M","-2.46%"
"01-01-2009","145.28","138.34","147.92","126.58","154.04M","5.02%"
"01-12-2008","138.34","121.03","147.08","115.82","168.87M","13.26%"
"01-11-2008","122.14","111.07","127.47","99.89","182.60M","13.00%"
"01-10-2008","108.09","132.52","140.87","86.56","203.82M","-17.91%"
"01-09-2008","131.68","133.25","147.08","121.80","166.57M","-1.72%"
"01-08-2008","133.98","131.83","145.35","127.43","131.61M","2.67%"
"01-07-2008","130.49","116.51","150.83","114.90","193.23M","12.14%"
"01-06-2008","116.36","132.02","132.94","113.37","152.01M","-11.86%"
"01-05-2008","132.02","153.17","155.43","128.77","196.15M","-12.40%"
"01-04-2008","150.71","152.44","155.43","139.42","161.97M","0.07%"
"01-03-2008","150.60","152.90","157.88","123.56","178.58M","-2.68%"
"01-02-2008","154.74","152.44","174.19","139.49","214.87M","3.04%"
"01-01-2008","150.18","193.80","222.72","127.20","435.41M","-21.86%"
"01-12-2007","192.19","182.31","194.45","172.35","168.35M","6.02%"
"01-11-2007","181.28","186.10","217.01","168.18","288.18M","-0.94%"
"01-10-2007","183.00","149.57","186.14","147.19","311.95M","23.17%"
"01-09-2007","148.57","133.29","153.20","132.14","191.71M","11.88%"
"01-08-2007","132.79","125.78","135.28","119.58","102.17M","4.55%"
"01-07-2007","127.01","117.05","130.61","116.01","85.46M","8.51%"
"01-06-2007","117.05","123.64","126.39","114.14","53.82M","-3.59%"
"01-05-2007","121.41","123.18","127.50","113.64","62.96M","-0.82%"
"01-04-2007","122.41","113.72","125.44","108.85","94.36M","6.36%"
"01-03-2007","115.09","107.17","116.05","98.82","69.44M","7.39%"
"01-02-2007","107.17","109.54","112.83","103.95","76.86M","-1.51%"
"01-01-2007","108.81","105.56","111.65","100.77","63.74M","4.06%"
"01-12-2006","104.56","114.14","118.35","100.77","108.55M","-7.12%"
"01-11-2006","112.57","99.58","120.95","97.32","108.39M","13.39%"
"01-10-2006","99.28","100.16","103.03","95.83","41.84M","-0.38%"
"01-09-2006","99.66","95.37","100.73","88.86","45.50M","4.71%"
"01-08-2006","95.18","88.28","98.24","87.82","45.60M","7.82%"
"01-07-2006","88.28","85.79","91.12","79.97","45.77M","3.92%"
"01-06-2006","84.95","86.94","89.93","73.54","88.52M","-1.34%"
"01-05-2006","86.10","103.41","106.48","65.19","138.28M","-17.39%"
"01-04-2006","104.22","104.06","111.00","92.76","117.51M","1.46%"
"01-03-2006","102.72","101.50","108.77","100.00","104.27M","2.25%"
"01-02-2006","100.46","88.32","103.41","87.79","96.47M","14.54%"
"01-01-2006","87.71","86.10","90.39","83.69","65.95M","2.24%"
"01-12-2005","85.79","80.39","87.25","77.37","81.89M","7.43%"
"01-11-2005","79.86","75.07","82.54","73.50","68.86M","7.31%"
"01-10-2005","74.42","81.93","84.26","70.32","96.47M","-8.30%"
"01-09-2005","81.16","78.52","84.07","75.84","85.94M","3.83%"
"01-08-2005","78.17","72.24","78.63","71.39","129.42M","8.80%"
"01-07-2005","71.85","63.96","74.99","63.54","138.56M","13.01%"
"01-06-2005","63.58","63.81","67.18","62.81","83.57M","-0.59%"
"01-05-2005","63.96","63.12","65.88","62.16","64.93M","1.64%"
"01-04-2005","62.93","75.84","75.84","61.28","111.93M","-3.69%"
"01-03-2005","65.34","71.62","73.15","63.58","136.79M","-8.28%"
"01-02-2005","71.24","66.64","73.15","65.34","344.18M","7.52%"
"01-01-2005","66.26","67.41","68.67","59.29","266.90M","-0.87%"
"01-12-2004","66.84","60.90","68.25","60.29","361.36M","10.32%"
