"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2008","111.18","120.81","123.62","104.51","303.45M","-3.85%"
"01-11-2008","115.63","116.67","135.00","102.05","266.85M","3.69%"
"01-10-2008","111.52","177.40","177.40","89.69","326.91M","-35.30%"
"01-09-2008","172.37","169.83","188.28","153.67","243.36M","1.07%"
"01-08-2008","170.54","163.37","190.00","158.97","182.78M","2.71%"
"01-07-2008","166.04","138.33","181.33","129.78","272.34M","22.23%"
"01-06-2008","135.84","145.00","162.48","132.50","339.39M","-5.80%"
"01-05-2008","144.20","174.00","175.75","140.03","283.31M","-16.25%"
"01-04-2008","172.18","166.67","178.83","161.17","148.80M","5.35%"
"01-03-2008","163.43","170.73","184.47","153.59","191.41M","-3.60%"
"01-02-2008","169.53","165.84","186.90","150.83","144.63M","2.79%"
"01-01-2008","164.93","206.67","226.00","138.33","261.73M","-20.00%"
"01-12-2007","206.16","193.33","212.27","190.17","185.51M","5.95%"
"01-11-2007","194.59","211.48","230.84","185.52","214.37M","-6.33%"
"01-10-2007","207.73","160.33","211.35","153.35","271.94M","30.09%"
"01-09-2007","159.68","143.33","164.00","137.03","133.97M","11.45%"
"01-08-2007","143.28","152.33","152.33","128.00","128.38M","-6.00%"
"01-07-2007","152.43","151.00","159.83","144.63","125.07M","0.99%"
"01-06-2007","150.93","153.67","158.33","137.78","120.28M","-1.81%"
"01-05-2007","153.72","153.98","157.48","144.67","126.54M","0.93%"
"01-04-2007","152.31","145.83","165.00","136.50","130.97M","3.75%"
"01-03-2007","146.80","131.34","147.50","125.18","146.52M","11.77%"
"01-02-2007","131.34","152.00","154.68","121.08","125.99M","-13.54%"
"01-01-2007","151.90","146.67","156.13","143.33","175.24M","4.60%"
"01-12-2006","145.22","143.67","148.37","125.89","170.61M","1.04%"
"01-11-2006","143.73","133.67","149.17","133.17","208.00M","5.71%"
"01-10-2006","135.96","130.03","136.54","124.44","194.53M","4.60%"
"01-09-2006","129.98","133.93","137.22","125.78","165.20M","-3.92%"
"01-08-2006","135.29","130.56","139.42","124.67","167.45M","3.79%"
"01-07-2006","130.35","123.11","133.33","113.39","256.68M","5.87%"
"01-06-2006","123.12","127.56","128.63","102.22","342.60M","-0.73%"
"01-05-2006","124.03","145.00","168.21","116.68","360.60M","-14.64%"
"01-04-2006","145.31","145.54","155.56","137.22","440.30M","-0.27%"
"01-03-2006","145.71","126.44","150.56","123.46","177.75M","15.40%"
"01-02-2006","126.27","138.86","138.86","123.37","211.80M","-8.15%"
"01-01-2006","137.48","131.44","144.22","116.67","194.34M","5.37%"
"01-12-2005","130.47","115.02","135.55","112.78","226.85M","14.04%"
"01-11-2005","114.41","107.22","120.56","102.22","163.17M","10.83%"
"01-10-2005","103.23","118.33","120.13","90.00","249.76M","-12.44%"
"01-09-2005","117.89","108.27","122.22","107.33","189.13M","8.07%"
"01-08-2005","109.09","104.48","113.05","98.96","227.62M","4.61%"
"01-07-2005","104.28","113.89","113.89","98.89","274.23M","-8.65%"
"01-06-2005","114.16","102.37","114.87","100.08","227.91M","11.34%"
"01-05-2005","102.53","93.33","103.26","90.68","181.47M","13.76%"
"01-04-2005","90.13","98.73","104.22","89.59","198.81M","-8.38%"
"01-03-2005","98.37","95.00","111.11","92.01","373.43M","3.83%"
"01-02-2005","94.74","91.68","95.11","88.91","258.04M","4.16%"
"01-01-2005","90.96","91.67","93.11","84.69","228.52M","-0.16%"
"01-12-2004","91.11","91.11","96.22","90.01","230.80M","0.63%"
"01-11-2004","90.54","87.56","92.43","86.23","234.50M","3.21%"
"01-10-2004","87.72","82.78","91.19","82.68","285.94M","5.36%"
"01-09-2004","83.26","79.44","84.97","76.11","304.84M","4.93%"
"01-08-2004","79.35","79.81","82.30","72.22","441.96M","-0.39%"
"01-07-2004","79.66","70.00","80.08","69.44","495.67M","14.00%"
"01-06-2004","69.88","69.17","76.11","67.58","496.53M","0.43%"
"01-05-2004","69.58","92.78","96.32","56.67","594.53M","-25.45%"
"01-04-2004","93.33","92.00","105.33","90.24","615.89M","-0.09%"
"01-03-2004","93.41","80.67","97.74","80.56","538.58M","16.78%"
"01-02-2004","79.99","82.22","87.41","73.89","203.25M","-2.79%"
"01-01-2004","82.29","90.56","111.11","79.28","314.13M","-7.22%"
"01-12-2003","88.69","69.01","90.32","67.56","149.14M","29.27%"
"01-11-2003","68.61","67.56","74.98","65.69","108.45M","3.59%"
"01-10-2003","66.23","69.11","72.00","63.11","163.12M","-2.47%"
"01-09-2003","67.91","69.11","77.09","56.90","263.34M","-0.79%"
"01-08-2003","68.45","51.66","74.44","50.23","175.75M","35.49%"
"01-07-2003","50.52","54.00","55.77","48.91","98.59M","-5.96%"
"01-06-2003","53.72","54.44","57.21","50.62","159.76M","1.28%"
"01-05-2003","53.04","39.18","53.56","39.18","60.12M","34.65%"
"01-04-2003","39.39","39.78","41.05","38.91","8.81M","-0.28%"
"01-03-2003","39.50","42.18","43.38","37.00","16.00M","-5.37%"
